The 'absorption cross section' of Ozone at the relevant wavelength has been updated,,,,,,,,,,,,,,,,
by the BIPM (the international bureau of weights and measures) and reflected within,,,,,,,,,,,,,,,,
the updated CEN reference method EN14625:2024. This results in an increase of ~1.24%,,,,,,,,,,,,,,,,
and will dramatically improve measurement uncertainty - this change has been applied,,,,,,,,,,,,,,,,
to all data from 1 January 2025.,,,,,,,,,,,,,,,,
Please refer to the UK-AIR data page ( https://uk-air.defra.gov.uk/data/ ) for further details:,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Daily Mean data	    supplied by UK-air on 31/12/2025",,,,,,,,,,,,,,,,
All Data GMT hour ending,,,,,,,,,,,,,,,,
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect,,,,,,,,,,,,,,,,
,Sheffield Barnsley Road,,,,Sheffield Devonshire Green,,,,,,Sheffield Tinsley,,,,,
Latitude,53.40495,,,,53.378622,,,,,,53.41058,,,,,
Longitude,-1.455815,,,,-1.478096,,,,,,-1.396139,,,,,
Site Type,Urban Traffic,,,,Urban Background,,,,,,Urban Background,,,,,
Zone,Yorkshire & Humberside,,,,Yorkshire & Humberside,,,,,,Yorkshire & Humberside,,,,,
Agglomeration,Sheffield Urban Area,,,,Sheffield Urban Area,,,,,,Sheffield Urban Area,,,,,
Local Authority,Sheffield,,,,Sheffield,,,,,,Sheffield,,,,,
Date,Nitrogen dioxide,Status,PM2.5 particulate matter (Hourly measured),Status,Ozone,Status,Nitrogen dioxide,Status,PM2.5 particulate matter (Hourly measured),Status,Ozone,Status,Nitrogen dioxide,Status,PM2.5 particulate matter (Hourly measured),Status
31/01/2023,15,V ugm-3,6,V ugm-3 (BAM),73,V ugm-3,7,V ugm-3,6,V ugm-3 (Ref.eq),,,13,V ugm-3,7,V ugm-3 (Ref.eq)
01/02/2023,18,V ugm-3,6,V ugm-3 (BAM),73,V ugm-3,8,V ugm-3,5,V ugm-3 (Ref.eq),,,13,V ugm-3,6,V ugm-3 (Ref.eq)
02/02/2023,24,V ugm-3,5,V ugm-3 (BAM),68,V ugm-3,9,V ugm-3,3,V ugm-3 (Ref.eq),,,20,V ugm-3,4,V ugm-3 (Ref.eq)
03/02/2023,33,V ugm-3,5,V ugm-3 (BAM),60,V ugm-3,15,V ugm-3,3,V ugm-3 (Ref.eq),,,27,V ugm-3,3,V ugm-3 (Ref.eq)
04/02/2023,35,V ugm-3,6,V ugm-3 (BAM),61,V ugm-3,15,V ugm-3,4,V ugm-3 (Ref.eq),,,23,V ugm-3,5,V ugm-3 (Ref.eq)
05/02/2023,44,V ugm-3,11,V ugm-3 (BAM),46,V ugm-3,27,V ugm-3,12,V ugm-3 (Ref.eq),,,33,V ugm-3,10,V ugm-3 (Ref.eq)
06/02/2023,58,V ugm-3,No data,V ugm-3 (BAM),25,V ugm-3,39,V ugm-3,13,V ugm-3 (Ref.eq),,,55,V ugm-3,18,V ugm-3 (Ref.eq)
07/02/2023,64,V ugm-3,No data,V ugm-3 (BAM),14,V ugm-3,48,V ugm-3,17,V ugm-3 (Ref.eq),,,50,V ugm-3,22,V ugm-3 (Ref.eq)
08/02/2023,44,V ugm-3,No data,V ugm-3 (BAM),34,V ugm-3,27,V ugm-3,16,V ugm-3 (Ref.eq),,,37,V ugm-3,20,V ugm-3 (Ref.eq)
09/02/2023,46,V ugm-3,No data,V ugm-3 (BAM),52,V ugm-3,No data,V ugm-3,9,V ugm-3 (Ref.eq),,,38,V ugm-3,12,V ugm-3 (Ref.eq)
10/02/2023,35,V ugm-3,7,V ugm-3 (BAM),54,V ugm-3,17,V ugm-3,6,V ugm-3 (Ref.eq),,,29,V ugm-3,7,V ugm-3 (Ref.eq)
11/02/2023,30,V ugm-3,5,V ugm-3 (BAM),70,V ugm-3,13,V ugm-3,5,V ugm-3 (Ref.eq),,,19,V ugm-3,3,V ugm-3 (Ref.eq)
12/02/2023,42,V ugm-3,17,V ugm-3 (BAM),48,V ugm-3,24,V ugm-3,18,V ugm-3 (Ref.eq),,,27,V ugm-3,16,V ugm-3 (Ref.eq)
13/02/2023,44,V ugm-3,21,V ugm-3 (BAM),39,V ugm-3,26,V ugm-3,24,V ugm-3 (Ref.eq),,,30,V ugm-3,23,V ugm-3 (Ref.eq)
14/02/2023,66,V ugm-3,41,V ugm-3 (BAM),18,V ugm-3,48,V ugm-3,36,V ugm-3 (Ref.eq),,,41,V ugm-3,34,V ugm-3 (Ref.eq)
15/02/2023,51,V ugm-3,25,V ugm-3 (BAM),44,V ugm-3,28,V ugm-3,27,V ugm-3 (Ref.eq),,,41,V ugm-3,26,V ugm-3 (Ref.eq)
16/02/2023,No data,V ugm-3,3,V ugm-3 (BAM),59,V ugm-3,11,V ugm-3,3,V ugm-3 (Ref.eq),,,27,V ugm-3,5,V ugm-3 (Ref.eq)
17/02/2023,No data,V ugm-3,5,V ugm-3 (BAM),64,V ugm-3,12,V ugm-3,5,V ugm-3 (Ref.eq),,,22,V ugm-3,5,V ugm-3 (Ref.eq)
18/02/2023,19,V ugm-3,3,V ugm-3 (BAM),75,V ugm-3,7,V ugm-3,2,V ugm-3 (Ref.eq),,,13,V ugm-3,3,V ugm-3 (Ref.eq)
19/02/2023,21,V ugm-3,No data,V ugm-3 (BAM),72,V ugm-3,8,V ugm-3,3,V ugm-3 (Ref.eq),,,11,V ugm-3,3,V ugm-3 (Ref.eq)
20/02/2023,29,V ugm-3,No data,V ugm-3 (BAM),65,V ugm-3,9,V ugm-3,3,V ugm-3 (Ref.eq),No data,V ugm-3,19,V ugm-3,4,V ugm-3 (Ref.eq)
21/02/2023,37,V ugm-3,7,V ugm-3 (BAM),47,V ugm-3,19,V ugm-3,8,V ugm-3 (Ref.eq),31,V ugm-3,32,V ugm-3,8,V ugm-3 (Ref.eq)
22/02/2023,35,V ugm-3,7,V ugm-3 (BAM),58,V ugm-3,15,V ugm-3,7,V ugm-3 (Ref.eq),44,V ugm-3,23,V ugm-3,6,V ugm-3 (Ref.eq)
23/02/2023,38,V ugm-3,7,V ugm-3 (BAM),65,V ugm-3,14,V ugm-3,6,V ugm-3 (Ref.eq),51,V ugm-3,23,V ugm-3,6,V ugm-3 (Ref.eq)
24/02/2023,25,V ugm-3,5,V ugm-3 (BAM),69,V ugm-3,12,V ugm-3,5,V ugm-3 (Ref.eq),66,V ugm-3,11,V ugm-3,5,V ugm-3 (Ref.eq)
25/02/2023,26,V ugm-3,7,V ugm-3 (BAM),66,V ugm-3,14,V ugm-3,7,V ugm-3 (Ref.eq),65,V ugm-3,10,V ugm-3,6,V ugm-3 (Ref.eq)
26/02/2023,28,V ugm-3,6,V ugm-3 (BAM),64,V ugm-3,15,V ugm-3,6,V ugm-3 (Ref.eq),62,V ugm-3,10,V ugm-3,5,V ugm-3 (Ref.eq)
27/02/2023,34,V ugm-3,6,V ugm-3 (BAM),60,V ugm-3,18,V ugm-3,5,V ugm-3 (Ref.eq),58,V ugm-3,15,V ugm-3,4,V ugm-3 (Ref.eq)
28/02/2023,29,V ugm-3,6,V ugm-3 (BAM),66,V ugm-3,14,V ugm-3,5,V ugm-3 (Ref.eq),67,V ugm-3,9,V ugm-3,4,V ugm-3 (Ref.eq)
01/03/2023,27,V ugm-3,5,V ugm-3 (BAM),68,V ugm-3,13,V ugm-3,5,V ugm-3 (Ref.eq),67,V ugm-3,10,V ugm-3,4,V ugm-3 (Ref.eq)
02/03/2023,No data,V ugm-3,10,V ugm-3 (BAM),61,V ugm-3,21,V ugm-3,9,V ugm-3 (Ref.eq),59,V ugm-3,16,V ugm-3,7,V ugm-3 (Ref.eq)
03/03/2023,No data,V ugm-3,7,V ugm-3 (BAM),69,V ugm-3,17,V ugm-3,7,V ugm-3 (Ref.eq),68,V ugm-3,13,V ugm-3,6,V ugm-3 (Ref.eq)
04/03/2023,No data,V ugm-3,8,V ugm-3 (BAM),70,V ugm-3,13,V ugm-3,8,V ugm-3 (Ref.eq),57,V ugm-3,21,V ugm-3,7,V ugm-3 (Ref.eq)
05/03/2023,No data,V ugm-3,9,V ugm-3 (BAM),57,V ugm-3,20,V ugm-3,10,V ugm-3 (Ref.eq),43,V ugm-3,29,V ugm-3,8,V ugm-3 (Ref.eq)
06/03/2023,No data,V ugm-3,6,V ugm-3 (BAM),60,V ugm-3,16,V ugm-3,6,V ugm-3 (Ref.eq),37,V ugm-3,34,V ugm-3,5,V ugm-3 (Ref.eq)
07/03/2023,41,V ugm-3,7,V ugm-3 (BAM),62,V ugm-3,19,V ugm-3,5,V ugm-3 (Ref.eq),45,V ugm-3,32,V ugm-3,5,V ugm-3 (Ref.eq)
08/03/2023,51,V ugm-3,13,V ugm-3 (BAM),38,V ugm-3,32,V ugm-3,10,V ugm-3 (Ref.eq),29,V ugm-3,36,V ugm-3,11,V ugm-3 (Ref.eq)
09/03/2023,46,V ugm-3,12,V ugm-3 (BAM),46,V ugm-3,31,V ugm-3,8,V ugm-3 (Ref.eq),47,V ugm-3,23,V ugm-3,7,V ugm-3 (Ref.eq)
10/03/2023,35,V ugm-3,6,V ugm-3 (BAM),67,V ugm-3,19,V ugm-3,7,V ugm-3 (Ref.eq),57,V ugm-3,26,V ugm-3,5,V ugm-3 (Ref.eq)
11/03/2023,47,V ugm-3,9,V ugm-3 (BAM),41,V ugm-3,36,V ugm-3,8,V ugm-3 (Ref.eq),39,V ugm-3,33,V ugm-3,9,V ugm-3 (Ref.eq)
12/03/2023,28,V ugm-3,8,V ugm-3 (BAM),62,V ugm-3,14,V ugm-3,8,V ugm-3 (Ref.eq),57,V ugm-3,14,V ugm-3,9,V ugm-3 (Ref.eq)
13/03/2023,20,V ugm-3,4,V ugm-3 (BAM),72,V ugm-3,7,V ugm-3,2,V ugm-3 (Ref.eq),60,V ugm-3,15,V ugm-3,4,V ugm-3 (Ref.eq)
14/03/2023,38,V ugm-3,7,V ugm-3 (BAM),67,V ugm-3,15,V ugm-3,4,V ugm-3 (Ref.eq),51,V ugm-3,27,V ugm-3,4,V ugm-3 (Ref.eq)
15/03/2023,42,V ugm-3,8,V ugm-3 (BAM),40,V ugm-3,29,V ugm-3,6,V ugm-3 (Ref.eq),30,V ugm-3,39,V ugm-3,9,V ugm-3 (Ref.eq)
16/03/2023,23,V ugm-3,5,V ugm-3 (BAM),59,V ugm-3,14,V ugm-3,4,V ugm-3 (Ref.eq),49,V ugm-3,21,V ugm-3,7,V ugm-3 (Ref.eq)
17/03/2023,46,V ugm-3,9,V ugm-3 (BAM),55,V ugm-3,23,V ugm-3,7,V ugm-3 (Ref.eq),41,V ugm-3,32,V ugm-3,8,V ugm-3 (Ref.eq)
18/03/2023,38,V ugm-3,8,V ugm-3 (BAM),56,V ugm-3,19,V ugm-3,6,V ugm-3 (Ref.eq),47,V ugm-3,21,V ugm-3,6,V ugm-3 (Ref.eq)
19/03/2023,24,V ugm-3,5,V ugm-3 (BAM),74,V ugm-3,10,V ugm-3,5,V ugm-3 (Ref.eq),64,V ugm-3,15,V ugm-3,4,V ugm-3 (Ref.eq)
20/03/2023,35,V ugm-3,6,V ugm-3 (BAM),54,V ugm-3,14,V ugm-3,3,V ugm-3 (Ref.eq),41,V ugm-3,24,V ugm-3,4,V ugm-3 (Ref.eq)
21/03/2023,23,V ugm-3,4,V ugm-3 (BAM),73,V ugm-3,8,V ugm-3,3,V ugm-3 (Ref.eq),61,V ugm-3,17,V ugm-3,4,V ugm-3 (Ref.eq)
22/03/2023,24,V ugm-3,6,V ugm-3 (BAM),88,V ugm-3,8,V ugm-3,6,V ugm-3 (Ref.eq),74,V ugm-3,17,V ugm-3,8,V ugm-3 (Ref.eq)
23/03/2023,21,V ugm-3,5,V ugm-3 (BAM),83,V ugm-3,8,V ugm-3,5,V ugm-3 (Ref.eq),72,V ugm-3,14,V ugm-3,7,V ugm-3 (Ref.eq)
24/03/2023,19,V ugm-3,5,V ugm-3 (BAM),81,V ugm-3,7,V ugm-3,5,V ugm-3 (Ref.eq),70,V ugm-3,13,V ugm-3,6,V ugm-3 (Ref.eq)
25/03/2023,26,V ugm-3,6,V ugm-3 (BAM),71,V ugm-3,14,V ugm-3,5,V ugm-3 (Ref.eq),63,V ugm-3,17,V ugm-3,5,V ugm-3 (Ref.eq)
26/03/2023,24,V ugm-3,7,V ugm-3 (BAM),74,V ugm-3,12,V ugm-3,7,V ugm-3 (Ref.eq),73,V ugm-3,8,V ugm-3,6,V ugm-3 (Ref.eq)
27/03/2023,48,V ugm-3,9,V ugm-3 (BAM),61,V ugm-3,21,V ugm-3,7,V ugm-3 (Ref.eq),51,V ugm-3,25,V ugm-3,9,V ugm-3 (Ref.eq)
28/03/2023,38,V ugm-3,9,V ugm-3 (BAM),53,V ugm-3,20,V ugm-3,7,V ugm-3 (Ref.eq),44,V ugm-3,24,V ugm-3,8,V ugm-3 (Ref.eq)
29/03/2023,37,V ugm-3,6,V ugm-3 (BAM),52,V ugm-3,17,V ugm-3,5,V ugm-3 (Ref.eq),44,V ugm-3,19,V ugm-3,7,V ugm-3 (Ref.eq)
30/03/2023,38,V ugm-3,5,V ugm-3 (BAM),69,V ugm-3,14,V ugm-3,4,V ugm-3 (Ref.eq),55,V ugm-3,24,V ugm-3,5,V ugm-3 (Ref.eq)
31/03/2023,33,V ugm-3,6,V ugm-3 (BAM),61,V ugm-3,18,V ugm-3,5,V ugm-3 (Ref.eq),64,V ugm-3,No data,V ugm-3,5,V ugm-3 (Ref.eq)
01/04/2023,26,V ugm-3,5,V ugm-3 (BAM),63,V ugm-3,13,V ugm-3,4,V ugm-3 (Ref.eq),62,V ugm-3,No data,V ugm-3,3,V ugm-3 (Ref.eq)
02/04/2023,29,V ugm-3,8,V ugm-3 (BAM),76,V ugm-3,12,V ugm-3,7,V ugm-3 (Ref.eq),74,V ugm-3,No data,V ugm-3,6,V ugm-3 (Ref.eq)
03/04/2023,41,V ugm-3,10,V ugm-3 (BAM),53,V ugm-3,26,V ugm-3,7,V ugm-3 (Ref.eq),49,V ugm-3,No data,V ugm-3,8,V ugm-3 (Ref.eq)
04/04/2023,47,V ugm-3,13,V ugm-3 (BAM),61,V ugm-3,25,V ugm-3,11,V ugm-3 (Ref.eq),49,V ugm-3,36,V ugm-3,13,V ugm-3 (Ref.eq)
05/04/2023,43,V ugm-3,12,V ugm-3 (BAM),54,V ugm-3,19,V ugm-3,12,V ugm-3 (Ref.eq),40,V ugm-3,32,V ugm-3,13,V ugm-3 (Ref.eq)
06/04/2023,26,V ugm-3,5,V ugm-3 (BAM),74,V ugm-3,10,V ugm-3,4,V ugm-3 (Ref.eq),59,V ugm-3,22,V ugm-3,4,V ugm-3 (Ref.eq)
07/04/2023,33,V ugm-3,8,V ugm-3 (BAM),71,V ugm-3,16,V ugm-3,5,V ugm-3 (Ref.eq),59,V ugm-3,21,V ugm-3,6,V ugm-3 (Ref.eq)
08/04/2023,38,V ugm-3,13,V ugm-3 (BAM),51,V ugm-3,25,V ugm-3,11,V ugm-3 (Ref.eq),48,V ugm-3,20,V ugm-3,12,V ugm-3 (Ref.eq)
09/04/2023,27,V ugm-3,18,V ugm-3 (BAM),65,V ugm-3,16,V ugm-3,17,V ugm-3 (Ref.eq),64,V ugm-3,14,V ugm-3,18,V ugm-3 (Ref.eq)
10/04/2023,19,V ugm-3,5,V ugm-3 (BAM),80,V ugm-3,6,V ugm-3,4,V ugm-3 (Ref.eq),69,V ugm-3,15,V ugm-3,6,V ugm-3 (Ref.eq)
11/04/2023,20,V ugm-3,4,V ugm-3 (BAM),84,V ugm-3,8,V ugm-3,3,V ugm-3 (Ref.eq),75,V ugm-3,15,V ugm-3,4,V ugm-3 (Ref.eq)
12/04/2023,22,V ugm-3,5,V ugm-3 (BAM),84,V ugm-3,9,V ugm-3,3,V ugm-3 (Ref.eq),73,V ugm-3,17,V ugm-3,3,V ugm-3 (Ref.eq)
13/04/2023,24,V ugm-3,5,V ugm-3 (BAM),84,V ugm-3,8,V ugm-3,4,V ugm-3 (Ref.eq),72,V ugm-3,18,V ugm-3,4,V ugm-3 (Ref.eq)
14/04/2023,56,V ugm-3,8,V ugm-3 (BAM),47,V ugm-3,27,V ugm-3,6,V ugm-3 (Ref.eq),37,V ugm-3,29,V ugm-3,6,V ugm-3 (Ref.eq)
15/04/2023,48,V ugm-3,13,V ugm-3 (BAM),56,V ugm-3,26,V ugm-3,12,V ugm-3 (Ref.eq),56,V ugm-3,23,V ugm-3,12,V ugm-3 (Ref.eq)
16/04/2023,36,V ugm-3,12,V ugm-3 (BAM),53,V ugm-3,20,V ugm-3,10,V ugm-3 (Ref.eq),46,V ugm-3,22,V ugm-3,10,V ugm-3 (Ref.eq)
17/04/2023,45,V ugm-3,14,V ugm-3 (BAM),47,V ugm-3,21,V ugm-3,14,V ugm-3 (Ref.eq),47,V ugm-3,19,V ugm-3,12,V ugm-3 (Ref.eq)
18/04/2023,32,V ugm-3,19,V ugm-3 (BAM),87,V ugm-3,15,V ugm-3,19,V ugm-3 (Ref.eq),83,V ugm-3,13,V ugm-3,17,V ugm-3 (Ref.eq)
19/04/2023,35,V ugm-3,13,V ugm-3 (BAM),80,V ugm-3,17,V ugm-3,13,V ugm-3 (Ref.eq),77,V ugm-3,15,V ugm-3,13,V ugm-3 (Ref.eq)
20/04/2023,31,V ugm-3,9,V ugm-3 (BAM),86,V ugm-3,12,V ugm-3,10,V ugm-3 (Ref.eq),81,V ugm-3,12,V ugm-3,9,V ugm-3 (Ref.eq)
21/04/2023,39,V ugm-3,22,V ugm-3 (BAM),67,V ugm-3,21,V ugm-3,23,V ugm-3 (Ref.eq),66,V ugm-3,17,V ugm-3,20,V ugm-3 (Ref.eq)
22/04/2023,42,V ugm-3,12,V ugm-3 (BAM),80,V ugm-3,17,V ugm-3,13,V ugm-3 (Ref.eq),70,V ugm-3,23,V ugm-3,13,V ugm-3 (Ref.eq)
23/04/2023,34,V ugm-3,14,V ugm-3 (BAM),71,V ugm-3,17,V ugm-3,16,V ugm-3 (Ref.eq),72,V ugm-3,13,V ugm-3,15,V ugm-3 (Ref.eq)
24/04/2023,34,V ugm-3,7,V ugm-3 (BAM),82,V ugm-3,12,V ugm-3,7,V ugm-3 (Ref.eq),77,V ugm-3,14,V ugm-3,7,V ugm-3 (Ref.eq)
25/04/2023,33,V ugm-3,8,V ugm-3 (BAM),82,V ugm-3,11,V ugm-3,6,V ugm-3 (Ref.eq),69,V ugm-3,19,V ugm-3,6,V ugm-3 (Ref.eq)
26/04/2023,52,V ugm-3,No data,V ugm-3 (BAM),62,V ugm-3,27,V ugm-3,12,V ugm-3 (Ref.eq),46,V ugm-3,33,V ugm-3,11,V ugm-3 (Ref.eq)
27/04/2023,49,V ugm-3,No data,V ugm-3 (BAM),51,V ugm-3,31,V ugm-3,19,V ugm-3 (Ref.eq),49,V ugm-3,27,V ugm-3,17,V ugm-3 (Ref.eq)
28/04/2023,55,V ugm-3,12,V ugm-3 (BAM),48,V ugm-3,27,V ugm-3,11,V ugm-3 (Ref.eq),46,V ugm-3,27,V ugm-3,11,V ugm-3 (Ref.eq)
29/04/2023,48,V ugm-3,14,V ugm-3 (BAM),44,V ugm-3,30,V ugm-3,14,V ugm-3 (Ref.eq),43,V ugm-3,23,V ugm-3,14,V ugm-3 (Ref.eq)
30/04/2023,29,V ugm-3,14,V ugm-3 (BAM),57,V ugm-3,16,V ugm-3,15,V ugm-3 (Ref.eq),50,V ugm-3,17,V ugm-3,13,V ugm-3 (Ref.eq)
01/05/2023,20,V ugm-3,6,V ugm-3 (BAM),74,V ugm-3,9,V ugm-3,4,V ugm-3 (Ref.eq),62,V ugm-3,13,V ugm-3,4,V ugm-3 (Ref.eq)
02/05/2023,32,V ugm-3,8,V ugm-3 (BAM),73,V ugm-3,16,V ugm-3,7,V ugm-3 (Ref.eq),70,V ugm-3,10,V ugm-3,7,V ugm-3 (Ref.eq)
03/05/2023,34,V ugm-3,9,V ugm-3 (BAM),68,V ugm-3,15,V ugm-3,7,V ugm-3 (Ref.eq),60,V ugm-3,12,V ugm-3,6,V ugm-3 (Ref.eq)
04/05/2023,35,V ugm-3,13,V ugm-3 (BAM),78,V ugm-3,15,V ugm-3,14,V ugm-3 (Ref.eq),73,V ugm-3,9,V ugm-3,13,V ugm-3 (Ref.eq)
05/05/2023,44,V ugm-3,13,V ugm-3 (BAM),50,V ugm-3,23,V ugm-3,10,V ugm-3 (Ref.eq),42,V ugm-3,22,V ugm-3,10,V ugm-3 (Ref.eq)
06/05/2023,39,V ugm-3,9,V ugm-3 (BAM),42,V ugm-3,22,V ugm-3,7,V ugm-3 (Ref.eq),40,V ugm-3,15,V ugm-3,7,V ugm-3 (Ref.eq)
07/05/2023,31,V ugm-3,10,V ugm-3 (BAM),50,V ugm-3,16,V ugm-3,7,V ugm-3 (Ref.eq),42,V ugm-3,18,V ugm-3,6,V ugm-3 (Ref.eq)
08/05/2023,28,V ugm-3,6,V ugm-3 (BAM),45,V ugm-3,12,V ugm-3,4,V ugm-3 (Ref.eq),35,V ugm-3,16,V ugm-3,6,V ugm-3 (Ref.eq)
09/05/2023,26,V ugm-3,7,V ugm-3 (BAM),65,V ugm-3,10,V ugm-3,6,V ugm-3 (Ref.eq),50,V ugm-3,18,V ugm-3,6,V ugm-3 (Ref.eq)
10/05/2023,28,V ugm-3,5,V ugm-3 (BAM),64,V ugm-3,11,V ugm-3,4,V ugm-3 (Ref.eq),45,V ugm-3,22,V ugm-3,4,V ugm-3 (Ref.eq)
11/05/2023,38,V ugm-3,8,V ugm-3 (BAM),48,V ugm-3,19,V ugm-3,6,V ugm-3 (Ref.eq),35,V ugm-3,21,V ugm-3,6,V ugm-3 (Ref.eq)
12/05/2023,28,V ugm-3,9,V ugm-3 (BAM),61,V ugm-3,17,V ugm-3,10,V ugm-3 (Ref.eq),62,V ugm-3,8,V ugm-3,8,V ugm-3 (Ref.eq)
13/05/2023,29,V ugm-3,11,V ugm-3 (BAM),63,V ugm-3,17,V ugm-3,12,V ugm-3 (Ref.eq),63,V ugm-3,8,V ugm-3,9,V ugm-3 (Ref.eq)
14/05/2023,24,V ugm-3,12,V ugm-3 (BAM),55,V ugm-3,13,V ugm-3,13,V ugm-3 (Ref.eq),51,V ugm-3,12,V ugm-3,13,V ugm-3 (Ref.eq)
15/05/2023,23,V ugm-3,5,V ugm-3 (BAM),74,V ugm-3,8,V ugm-3,4,V ugm-3 (Ref.eq),63,V ugm-3,12,V ugm-3,4,V ugm-3 (Ref.eq)
16/05/2023,20,V ugm-3,6,V ugm-3 (BAM),79,V ugm-3,8,V ugm-3,6,V ugm-3 (Ref.eq),64,V ugm-3,14,V ugm-3,6,V ugm-3 (Ref.eq)
17/05/2023,33,V ugm-3,7,V ugm-3 (BAM),73,V ugm-3,13,V ugm-3,7,V ugm-3 (Ref.eq),53,V ugm-3,24,V ugm-3,7,V ugm-3 (Ref.eq)
18/05/2023,44,V ugm-3,11,V ugm-3 (BAM),64,V ugm-3,19,V ugm-3,9,V ugm-3 (Ref.eq),44,V ugm-3,28,V ugm-3,10,V ugm-3 (Ref.eq)
19/05/2023,39,V ugm-3,10,V ugm-3 (BAM),70,V ugm-3,14,V ugm-3,9,V ugm-3 (Ref.eq),64,V ugm-3,15,V ugm-3,9,V ugm-3 (Ref.eq)
20/05/2023,41,V ugm-3,14,V ugm-3 (BAM),70,V ugm-3,16,V ugm-3,13,V ugm-3 (Ref.eq),63,V ugm-3,13,V ugm-3,12,V ugm-3 (Ref.eq)
21/05/2023,34,V ugm-3,11,V ugm-3 (BAM),74,V ugm-3,15,V ugm-3,8,V ugm-3 (Ref.eq),67,V ugm-3,14,V ugm-3,8,V ugm-3 (Ref.eq)
22/05/2023,35,V ugm-3,8,V ugm-3 (BAM),83,V ugm-3,11,V ugm-3,7,V ugm-3 (Ref.eq),71,V ugm-3,13,V ugm-3,7,V ugm-3 (Ref.eq)
23/05/2023,30,V ugm-3,7,V ugm-3 (BAM),73,V ugm-3,11,V ugm-3,7,V ugm-3 (Ref.eq),61,V ugm-3,16,V ugm-3,7,V ugm-3 (Ref.eq)
24/05/2023,29,V ugm-3,10,V ugm-3 (BAM),84,V ugm-3,9,V ugm-3,10,V ugm-3 (Ref.eq),73,V ugm-3,12,V ugm-3,9,V ugm-3 (Ref.eq)
25/05/2023,36,V ugm-3,10,V ugm-3 (BAM),73,V ugm-3,14,V ugm-3,9,V ugm-3 (Ref.eq),69,V ugm-3,10,V ugm-3,8,V ugm-3 (Ref.eq)
26/05/2023,35,V ugm-3,8,V ugm-3 (BAM),74,V ugm-3,13,V ugm-3,8,V ugm-3 (Ref.eq),65,V ugm-3,14,V ugm-3,8,V ugm-3 (Ref.eq)
27/05/2023,33,V ugm-3,9,V ugm-3 (BAM),80,V ugm-3,12,V ugm-3,8,V ugm-3 (Ref.eq),67,V ugm-3,14,V ugm-3,8,V ugm-3 (Ref.eq)
28/05/2023,25,V ugm-3,8,V ugm-3 (BAM),66,V ugm-3,9,V ugm-3,7,V ugm-3 (Ref.eq),60,V ugm-3,7,V ugm-3,7,V ugm-3 (Ref.eq)
29/05/2023,30,V ugm-3,9,V ugm-3 (BAM),70,V ugm-3,11,V ugm-3,8,V ugm-3 (Ref.eq),64,V ugm-3,6,V ugm-3,7,V ugm-3 (Ref.eq)
30/05/2023,33,V ugm-3,9,V ugm-3 (BAM),66,V ugm-3,12,V ugm-3,9,V ugm-3 (Ref.eq),59,V ugm-3,11,V ugm-3,8,V ugm-3 (Ref.eq)
31/05/2023,31,V ugm-3,6,V ugm-3 (BAM),68,V ugm-3,13,V ugm-3,6,V ugm-3 (Ref.eq),63,V ugm-3,9,V ugm-3,6,V ugm-3 (Ref.eq)
01/06/2023,30,V ugm-3,7,V ugm-3 (BAM),80,V ugm-3,10,V ugm-3,7,V ugm-3 (Ref.eq),74,V ugm-3,8,V ugm-3,6,V ugm-3 (Ref.eq)
02/06/2023,31,V ugm-3,7,V ugm-3 (BAM),80,V ugm-3,11,V ugm-3,8,V ugm-3 (Ref.eq),74,V ugm-3,7,V ugm-3,8,V ugm-3 (Ref.eq)
03/06/2023,32,V ugm-3,8,V ugm-3 (BAM),71,V ugm-3,12,V ugm-3,8,V ugm-3 (Ref.eq),65,V ugm-3,7,V ugm-3,7,V ugm-3 (Ref.eq)
04/06/2023,28,V ugm-3,10,V ugm-3 (BAM),67,V ugm-3,11,V ugm-3,7,V ugm-3 (Ref.eq),61,V ugm-3,8,V ugm-3,7,V ugm-3 (Ref.eq)
05/06/2023,29,V ugm-3,7,V ugm-3 (BAM),76,V ugm-3,9,V ugm-3,7,V ugm-3 (Ref.eq),71,V ugm-3,6,V ugm-3,6,V ugm-3 (Ref.eq)
06/06/2023,36,V ugm-3,7,V ugm-3 (BAM),73,V ugm-3,11,V ugm-3,6,V ugm-3 (Ref.eq),68,V ugm-3,7,V ugm-3,5,V ugm-3 (Ref.eq)
07/06/2023,36,V ugm-3,11,V ugm-3 (BAM),73,V ugm-3,13,V ugm-3,9,V ugm-3 (Ref.eq),68,V ugm-3,8,V ugm-3,9,V ugm-3 (Ref.eq)
08/06/2023,28,V ugm-3,13,V ugm-3 (BAM),80,V ugm-3,13,V ugm-3,14,V ugm-3 (Ref.eq),76,V ugm-3,8,V ugm-3,11,V ugm-3 (Ref.eq)
09/06/2023,29,V ugm-3,10,V ugm-3 (BAM),85,V ugm-3,13,V ugm-3,11,V ugm-3 (Ref.eq),79,V ugm-3,8,V ugm-3,10,V ugm-3 (Ref.eq)
10/06/2023,31,V ugm-3,15,V ugm-3 (BAM),98,V ugm-3,12,V ugm-3,15,V ugm-3 (Ref.eq),93,V ugm-3,7,V ugm-3,13,V ugm-3 (Ref.eq)
